ind.basgra,name.basgra,name.bethy,unit.basgra,unit.bethy,conv2basgra,default,description
79,RGRTG1G2,,tiller tiller-1 d-1,,,0.8237,Relative rate of TILG1 becoming  TILG2 
80,RDRTMIN,min_foliage_mort_rate,d-1,d-1,1,0.01209,Minimum relative death rate of foliage
81,TVERN,vernalization_threshold,deg C,deg C,1,20,Vernalisation threshold
82,CLITT0,,,,,300,Initial value of litter C
83,CSOM0,,,,,10000,SOM C pool
84,CNLITT0,,,,,50,C:N ratio of litter
85,CNSOMF0,,,,,25,C:N ratio of fast SOM
86,CNSOMS0,,,,,10,C:N ratio of slow SOM
87,FCSOMF0,,,,,0.2,Fraction of soil SOC that is fast
88,FLITTSOMF,f_litter_SOM_fast,,,,0.6,Fraction of decomposed litter becoming fast SOM
89,FSOMFSOMS,fastOM2slowOM,,,,0.03,Fraction of decomposed fast SOM
90,RNLEACH,,,,,0.5,Relative concentration of mineral N in leaching water
91,KNEMIT,,d-1,,,0.0005,Fraction of mineral N emitted in wet soil
92,NMIN0,,,,,1,Initial mineral N
93,TCLITT,litter_residence_time,d,d,1,365,Residence time of litter
94,TCSOMF,fOM_residence_time,d,d,1,1460,Residence time of fast decomposing OM
95,TCSOMS,sOM_residence_time,d,d,1,73000,Residence time of slowly decomposing OM
96,TMAXF,Tdecomp_max,deg C,deg C,1,50,Temperature at which decomposition is maximal
97,TSIGMAF,decomp_res2Tdelta,deg C,deg C,1,20,Resilience of decomposition to temperature change
98,RFN2O,,,,,8.5,Sensitivity of N-emission partitioning to soil wetness
99,WFPS50N2O,,,,,0.7,Water filled pore space at which N-emission is half N2O
100,NCSHMAX,n2c_shoot_max,,,,0.06934,Maximum N-C ratio of shoot
101,NCR,,,,,0.02195,N-C ratio of roots
102,RDRROOT,,d-1,d-1,1,0.02,Relative death rate of roots  
103,RDRSTUB,,,,,0.2086,Relative death rate of stubble  
104,NFERTMULT,,,,,1,Multiplication factor for changing fertlisation (default = 1)
105,FNCGSHMIN,,,,,0.327,Relative minimum N-C ratio of growing tissue 
106,TCNSHMOB,,d,d,1,7.643,Time constant  of  shoot  N remobilization
107,TCNUPT,,d,d,1,27.6,Time constant of soil mineral N uptake 
108,F_DIGEST_WALL_FMIN,,,,,0.7,
109,F_DIGEST_WALL_MAX,,,,,0.9,
110,F_WALL_LV_FMIN,,,,,0.7,
111,F_WALL_LV_MAX,,,,,0.6,
112,F_WALL_ST_FMIN,,,,,0.8,
113,F_WALL_ST_MAX,,,,,0.75,
114,lag_coef1,,,,,0.4259767878,lag coefficient for soil temperature
115,lag_coef2,,,,,0.7330371577,lag coefficient for soil temperature
116,SdepthMax,,m,,,0.2208209643,maximum snow depeth to prevent heat convection
117,th_lower,,,,,0.145443199,the lower threshold for baseflow
118,th_upper,,,,,0.344098589,the phase point for drainage curve
119,Bmax,,mm d-1,,,0.1166755161,maximum baseflow rate
120,Bfra,,,,,0.3803666,fraction of maximum baseflow rate in linear drainage
121,B_trans,,,,,0.5271620885,the distribution parameter for crop water uptake
122,f_aer,,,,,0.72,the threshold of water content for oxygen deficiency
123,drain_max,,mm,,,7.8926040697,the maximum drainage amount in one day
124,CN_lit1_0,,,,,15,C/N ration for fast litter pool (initial)
125,CN_lit2_0,,,,,80,C/N ration for slow litter pool (initial)
126,CN_som1,,,,,10,C/N ration for active som pool
127,CN_som2,,,,,50,C/N ration for slow som pool
128,CN_som3,,,,,100,C/N ration for passive som pool
129,k0_lit1,,a-1,,,4.5914806923,the potential decompostion rate for fast pool
130,k0_lit2,,a-1,,,1.3723666365,the potential decompostion rate for slow pool
131,k0_som1,,a-1,,,0.6019528473,the potential decompostion rate for active som pool
132,k0_som2,,a-1,,,0.0406847942,the potential decompostion rate for slow som pool
133,k0_som3,,a-1,,,0.0004286123,the potential decompostion rate for passive som pool
134,rlit1,,,,,0.5600935723,respiration fraction of fast litter pool
135,rlit2,,,,,0.4466034606,respiration fraction of slow litter pool
136,rsom1,,,,,0.261270146,respiration fraction of active som pool
137,rsom2,,,,,0.5404747313,respiration fraction of slow som pool
138,rsom3,,,,,0.8794325153,respiration fraction of passive som pool
139,rdoc,,,,,0.05,fraction of doc
140,Q10,,,,,2.0706004162,the proportional decrease in decomposition rate for a 10 degree decrease in temperature
141,Tref,,deg C,,,20,reference temperature
142,De,,m,,,1.4684476833,e-folding depth
143,kroot,,,,,0.1,acid decompostion rate of root
144,ksom,,,,,0.0007,decomposition rate of som (aerobic)
145,rsom,,,,,0.2,respiration fraction of som (aerobic)
146,Pmax,,,,,0.8,maximum ratio of total CH4 pool for plant transportation
147,Emax,,,,,0.4,maximum ratio of total CH4 pool for ebullition
148,Dmax,,,,,0.1,maximum ratio of total CH4 pool for diffusion
149,Omax,,kgC m-3 d-1,,,2.00E-06,maximum ratio of total CH4 for oxidation
150,kdenit1,,,,,0.06,denitrification coefficient for NO3
151,kdenit2,,,,,0.04,denitrification coefficient for DOC
152,k1,,,,,25,diffusion factor
153,knit,,,,,0.0004,nitrification coefficient for NH4
154,RateL,,,,,0.5,leaching rate
155,T_coef,,,,,1.2742005722,"correcting coefficient for variable ""df"""
156,pm,,,,,0.5569545453,the fraction of mobile porosity in the total 
157,cim,,,,,0.4520937269,the water capacity fraction for immobile pore
158,fadv,,,,,0.1197571771,the coeffient for the advection of water between mobile and immobile pores  
159,Kc,,,,,0.8176249814,coefficient for ET0
160,lag_coef0,,,,,0.5743450558,lag coefficient for soil temperature
161,th_a,,,,,0.0413971834,water effect - lower
162,th_b,,,,,0.224458876,water effect - upper
163,MR_sh,,gC gN-1 d-1,,,0.2382292495,MR coefficient for shoot N content
164,MR_rt,,gC gN-1 d-1,,,0.2359218298,MR coefficient for root  N content
165,MR_Q10,,,,,2,Q10 value for MR (temperature effect)
166,DTrans,,m,,,0.1380514934,coefficient for transpiration allocation
167,Omax1,,,,,0.008,maximum ratio of total CH4 for oxidation
